Part ID,Original Name,Alternative Name,Location,Model,Notes
1100342,BEARING - BALL,Ball Bearing,"Trailing Arm , Rear Wheel Axle",Carb FI FL,
6191089,GRIP - HAND FOR CLASSIC,Hand Grip,,ALL,
18201044,LAMP :- 12V - 10W - R 10W (6201083),Reverse Light,Tail Lamp - Middle,Carb FI FL,
20201029,"LAMP :- 12V - 21/5W, P 21/5W",Brake Light,Tail Lamp - Bottom,Carb FI FL,
20201029,"LAMP :- 12V - 21/5W, P 21/5W",Park Light,Tail Lamp - Bottom,Carb FI FL,
22170115,SEAL - OIL,Oil Seal,Front Axle,Carb FI FL,Metal
22170434,BOLT FOR AXLE,Stud Bolt,All Wheels,Carb FI FL,
22171007,SEAL - OIL,Seal Oil,"Rear Wheel Axle , Propeller Shaft",Carb FI FL,Atubangan
24130105,BEARING - BALL,ball bearing,Cranckcase,Carb FI FL,
24151097,KIT: MAJOR :- TMC,Kit Major TMC,"Brake Master , TMC",Carb FI FL,
24151098,KIT: MINOR :- TMC,Rubber Cap,"Brake Master , TMC",Carb FI FL,
24151108,KIT : MINOR WHEEL CYLINDER,Rubber Cap,Front Wheel,Carb FI FL,
24151113,KIT- MAJOR WHEEL CYLINDER-REAR,Kit Major TMC,Rear Wheel,Carb FI FL,
24151114,KIT-MINOR WHEEL CYLINDER-REAR,Rubber Cap,Rear Wheel,Carb FI FL,
24151163,CYLINDER ASSY WHEEL COMP FR,Brake Cylinder,Front Wheel,Carb FI FL,
24151164,CYLINDER ASSY WHEEL COMP REAR,Brake Cylinder,Rear Wheel,Carb FI FL,
24151168,ASSEMBLY AUTO ADJUSTER FRONT,Adjuster,Front Brakes,Carb FI FL,
24151173,KIT SPRING FRONT & LH,Kit Spring,"Front Brakes , Rear Left Brakes",Carb FI FL,
24151174,ASSEMBLY BACK PLATE REAR LH,Back Plate,Rear Left Wheel,Carb FI FL,
24151175,ASSEMBLY AUTO ADJUSTER LH,Adjuster,Rear Left Brakes,Carb FI FL,
24151179,ASSEMBLY AUTO ADJUSTER RH,Adjuster,Rear Right Brakes,Carb FI FL,
24151182,KIT SPRING RH,Kit Spring,Rear Right Brakes,Carb FI FL,
24151221,ASSEMBLY BRAKE PIPE REAR-2 FL,Brake Pipe Assembly,,Carb FI FL,
24151221,ASSEMBLY BRAKE PIPE REAR-2 FL,Copper Tube,,Carb FI FL,
24151234,HOSE REAR CIRCUIT-1 FL,Brake Hose,,Carb FI FL,Brake pipe assembly to brake master
24151266,AXLE ASSEMBLY WHEEL FRONT,Front Axle,Front Wheel,Carb FI FL,
24151268,BRAKE SHOE KIT (ASK LINING) (24151171 WITH SPRING),Brake Shoe,All Wheels,Carb FI FL,
24151299,ASSEMBLY BRAKE RESERVOIR (24151290),Brake Fluid Container - Dikit,,,
24151299,ASSEMBLY BRAKE RESERVOIR (24151290),Oil Container - Dikit,,,
24165116,ASSEMBLY STEERING COVER REFL,Center Cover,Front of Vehicle,ALL,
24170508,REAR SUSPENSION SPRING,Shock Absorber Spring,Rear Wheel,Carb FI FL,
24171024,SEAL - OIL :- 48 DIA.,Oil Seal,Rear Wheel Axle,Carb FI FL,Likod
24171055,BUSH - RUBBER FOR REAR SHOCKABSORBER,Bushing,Rear Shock Absorber,Carb FI FL,Top Bushing
24171094,SHOCK ABSORBER ASSEMBLY - REAR,Rear Shock Absorber,Rear Wheels,Carb FI FL,
24171117,BOLT HEXAGON WTTH FLANGE,Drain Plug,"Front Brake Disk , Differential",Carb FI FL,
24171117,BOLT HEXAGON WTTH FLANGE,Allen Bolt,"Front Brake Disk , Differential",Carb FI FL,
24171179,ASSEMBLY ARM TRAILING LH,Swing Arm - LEFT,Rear Wheel,Carb FI FL,
24171180,ASSEMBLY ARM TRAILING RH,Swing Arm - RIGHT,Rear Wheel,Carb FI FL,
24171201,BEARING NEEDLE,Stick Bearing,Pivot Pin,Carb FI FL,sold in pairs
24201472,ASSEMBLY TAIL LIGHT LH REFL,Tail Lamp Assembly  - LEFT,,Carb FI FL,
24201473,ASSEMBLY TAIL LIGHT RH REFL,Tail Lamp Assembly - RIGHT,,Carb FI FL,
24201477,LENS TAIL LIGHT LH REFL,Back Lens - LEFT,,Carb FI FL,
24201487,ASSEMBLY SIDE INDICATOR FRONT LH,Front Signal Light - LEFT,,Carb FI FL,
24201488,ASSEMBLY SIDE INDICATOR FRONT RH,Front Signal Light - RIGHT,,Carb FI FL,
24201499,LENS TAIL LIGHT RH REFL,Back Lens - RIGHT,,Carb FI FL,
24230185,FLAP - MUD,Mud Gaurd,Tapalodo / Front Wheel,Carb FI FL,
24231713,ASSEMBLY KNOB FOR REAR DOOR,Knob,Rear Doors,Carb FI FL,
30101185,RING - O,O-Ring,Pivot Pin,Carb FI FL,sold in pairs
30151039,BEARING - BALL,Ball Bearing - Gamay,Diferential,Carb FI FL,
31101019,COLLET,Valve Lock,Rocker Arm Assembly,FI FL,
39029615,NUT - HEXAGON :- M10 (ALT 39031215),Hexagon Nut,All Wheels,Carb FI FL,
39029615,NUT - HEXAGON :- M10 (ALT 39031215),Stainless Nut,All Wheels,Carb FI FL,
39034217,CIRCLIP - INTERNAL,Circlip,Rear Axle,Carb FI FL,
39042606,PIN - SPRING TYPE STRAIGHT,Reverse Pin,,Carb FI FL,
39103519,SEAL - OIL,Valve Seal,Rocker Arm Assembly,Carb FI FL,
39118215,NUT,Nut,"Propeller Shaft , Wheel Side Flange",Carb FI FL,
39138904,BOLT - HEXAGON :- M8 X 1.25,Bolt,Oil Container,Carb FI FL,
39143520,BEARING - NEEDLE ROLLER,Needle Bearing,Differential,FI FL,
39153721,RING - O,O-Ring,Clutch Cover,FI FL,
39172104,BOLT - FLANGED,Bolt,Clutch Cover,FI FL,
39186919,SEAL - OIL :- 15 X 24 X 5,Oil Seal,"Differential Cover , Crankcase",FI FL,Gawas
39193120,BEARING - BALL :- 28 X 68 X 18,Side Bearing,Connecting Rod,Carb FI FL,
39196304,BOLT - FLANGED :- SMALL,Bolt,Clutch Cover,Carb FI FL,
39235717,CIRCLIP - INTERNAL,Circlip,Pivot Pin,Carb FI FL,sold in pairs
39262921,O-RING,O-Ring,Spark Plug Sleeve,Carb FI FL,
52240764,ASSEMBLY WHEEL RIM 24151110 )( 24151285 ),Rim,All Wheels,ALL,
52244040,ED COATED FR MUDGUARD AA161183,Tapalodo,Front Wheel,ALL,
59200012,BEARING - NEEDLE (SL 35 20 ),Needle Bearing,Rear Wheel Axle,Carb FI FL,Atras
36AA4025,KIT FRICTION PLATE KIT (ANTI JUDDER-RE2),Clutch Lining,Clutch Plate Assembly,Carb FI,
36AA4028,KIT IGNITION SWITCH (AA201254) WITH KEY,Ignition Switch,,FI FL,
36AA4032,KIT_CONNECTING ROD 4S FL,Connecting Rod,Crankshaft Assembly,FI,
36AA4132,KIT CONNECTING ROD,Connecting Rod,Crankshaft Assembly,FL,
36AN0016,KIT RING PISTON RE4S CHROME PLTD (EXP),Piston Ring,Piston Assembly,FI FL,
36AU0001,KIT CYL BLOCK PISTON ASSLY,Bore Kit,Piston Assembly,FI FL,
36BA4039,KIT PIVOT PIN WITH GREASE HOLE,Pivot Pin,Pivot Pin,Carb FI FL,
36BA4042,KIT SLIDER BLOCK (OLD-36AL0001),Slider Block Kit - SMOOTH,Propeller Shaft,Carb FI FL,
36BA4043,KIT SLIDER BLOCK WITH PIN (OLD- 36AL0001),Slider Block Kit - w/ GROOVE,Propeller Shaft,Carb FI FL,
36RA0002,KIT FRICTION PLATE - 236,Clutch Lining,Clutch Plate Assembly,FL Maxima,
36RA0013,"CYL BLOCK PISTON ASSLY- PL,LPG",Bore Kit,Piston Assembly,Maxima,
AA101471,WHEEL CLUTCH,Clutch Wheel,Clutch Plate Assembly,Carb FI FL,
AA101472,PLATE - CLUTCH,Clutch Plate,Clutch Plate Assembly,Carb FI FL,
AA101473,HUB - CLUTCH,Clutch Hub,Clutch Plate Assembly,Carb FI FL,
AA101592,CLUTCH HOUSING ASSY,Clutch Housing,Clutch Plate Assembly,FI FL,
AA101593,CLUTCH COMPLETE (AA101598),Clutch Assembly,Clutch Plate Assembly,FI FL,
AA101816,RUBBER ISOLATOR,Engine Support,,FI FL,Kilid na support
AA101844,SEAL - HEAD COVER,Gasket,,Carb FI FL,plastic gasket
AA101859,VALVE INTAKE,Barbola - Intake,,FI FL,
AA101860,VALVE EXHAUST,Barbola - Exhaust,,FI FL,
AA101865,PISTON ASSEMBLY,Piston w/ Ring,Piston Assembly,FI FL,
AA101939,BRACKET CABLE CLUTCH,Cable Bracket,Clutch Cable,,for extensions
AA102026,COVER DIFFERENTIAL,Differential Cover,Differential,Carb FI,Old
AA102114,NUT CLIP,Clip sa Tambotso,Tambotso,Carb FI FL,
AA102209,COVER DIFFERENTIAL,Differential Cover,Differential,FL,
AA102435,GEAR SATELLITE,Satellite Gear,,Carb FI FL,
