 sku,part_name,base_cost_price,srp_price,current_stock,shelf_id,stock_warning,is_active
01100342,BEARING - BALL,137,195,89,,,
01100711,RING - SHOULDER :- NO. 1 TO 5,28,40,,,,
01100712,RING - SHOULDER :- NO. 2,30,43,,,,
01100713,RING - SHOULDER :- NO. 3,30,43,,,,
01100714,RING - SHOULDER :- NO. 4,30,43,,,,
01160717,CLIP - LOCK,3,5,,,,
01180123,BALL - STEEL,1,2,,,,
01190205,WASHER - SPRING,1,2,,,,
03100335,BEARING - NEEDLE ROLLER,58,83,,,,
03170109,PIN,4,6,,,,
03180116,RING - O,1,2,,,,
03190206,WASHER - PLAIN,1,2,,,,
05101051,BREATHER ASSEMBLY,27,39,,,,
05151012,ADJUSTER WITH NUT,17,24,,,,
06191089,GRIP - HAND FOR CLASSIC,74,105,1,,,
06201083,LAMP :- 12V - 10W (18201044),20,29,,,,
06221028,PAD - SHOCK,3,5,,,,
15101171,RING -SPACER BOTH SIDE CIRCLP MAIN SHAFT,23,33,,,,
18201044,LAMP :- 12V - 10W - R 10W (6201083),20,29,18,,,
20201029,"LAMP :- 12V - 21/5W, P 21/5W",35,50,20,,,
21100711,CIRCLIP,13,18,,,,
21101427,SPRING,6,8,,,,
21101429,CLIP - SPRING,5,7,,,,
21150422,PACKING - COPPER WASHER,7,10,,,,
21160417,PLATE - REINFORCEMENT,14,20,,,,
21170419,CIRCLIP,11,15,,,,
21180307,KNOB,8,12,,,,
21180308,SPRING,3,5,,,,
22101115,GRIP - STARTING HANDLE,42,60,,,,
22101423,PLUG,11,15,,,,
22131014,SPACER,25,35,20,,,
22131018,GEAR - SATELLITE FOR REVACYCLE SYSTEM,105,150,20,,,
22150507,RATCHET,128,183,,,,
22151106,DRUM - BRAKE :- CAST IRON,"1,015","1,450",,,,
22161221,PLATE HOLDER,56,80,,,,
22170115,SEAL - OIL,23,33,,,,
22170118,SPACER,6,9,,,,
22170345,WASHER FOR RIM(24151297),27,39,,,,
22170434,BOLT FOR AXLE,14,20,59,,,
22171007,SEAL - OIL,28,40,42,,,
22181058,ASSLY. LOWER STEERING LOCK,48,69,,,,
22250132,CABLE ASSEMBLY - ELECTRIC :- WHITE,43,62,,,,
23161305,NIPPLE - GREASE,13,18,,,,
24101069,BREATHER ASSEMBLY,24,34,,,,
24101414,WASHER,11,15,,,,
24101419,NUT - HEX :- L. H. THREAD,4,6,,,,
24101421,PIN,13,18,,,,
24101422,PIN,14,20,,,,
24101720,BUSH FOR EYE PIN,6,8,,,,
24101830,ASSEMBLY SHAFT PROPELLER COMP.(24102003),784,"1,120",,,,
24102003,ASSEMBLY PROPELLER SHAFT(OLD 24101830),784,"1,120",2,,,
24102023,GRILL AIR INTAKE,39,55,,,,
24102046,BREATHER,32,46,,,,
24121069,PIN - FLOAT,13,18,,,,
24121087,SPRING,13,18,,,,
24121333,CLIP -VACUUM HOSE LPG,7,10,,,,
24121365,FLOAT ASSEMBLY ( AF121445 ),350,500,,,,
24121460,TUBE S.A.I. INLET,88,125,,,,
24121462,SILENCER FOR SAI,53,75,,,,
24121476,SPRING CLAMP DIA. 16.8 X W12,16,23,,,,
24121477,CLAMP HOSE,5,8,,,,
24121485,AIR SCREW KIT,53,75,,,,
24121508,TUBE OVERFLOW CARB.,27,39,,,,
24121652,FUEL FILTER,37,53,,,,
24121676,KIT-JET KIT,"2,171","3,101",,,,
24121695,ASSEMBLY FUEL COCK FL,172,245,,,,
24121698,SEAL FUEL TAP,16,23,,,,
24121716,PIPE BREATHER,60,85,,,,
24121729,CLAMP,53,75,,,,
24121749,CLAMP,22,31,,,,
24130105,BEARING - BALL,245,350,4,,,
24130111,BUSH - BEVEL GEAR HOUSING - BIMETALIC,46,65,,,,
24130113,PIN,3,5,,,,
24130209,GEAR - FARE METER,77,110,10,,,
24131003,WIRE,1,2,,,,
24131007,BUSH,17,24,,,,
24131008,PLUG,90,128,,,,
