timestamp,quantity,part_id,transaction_type,cost_at_time,sale_at_time,notes
2025-08-17,2,06191089,SALE,74,190,
2025-08-17,1,59200012,SALE,77,99,
2025-08-17,1,22171007,SALE,28,37,
2025-08-18,1,AA191094,SALE,280,284,
2025-08-18,1,AA191093,SALE,308,304,
2025-08-18,1,59200012,SALE,77,99,
2025-08-18,1,22171007,SALE,28,37,
2025-08-18,2,STUD,SALE,1000,2340,
2025-08-18,2,BGO - G,SALE,275,580,
2025-08-18,1,36AA4025,SALE,385,491,
2025-08-18,1,AA101865,SALE,784,989,
2025-08-18,1,AA101844,SALE,60,78,
2025-08-18,1,AN101149,SALE,126,162,
2025-08-18,1,AN101135,SALE,35,40,
2025-08-18,1,AA111082,SALE,"1,120",1429,
2025-08-18,1,JE351407,SALE,210,270,
2025-08-18,1,AM101174,SALE,406,522,
2025-08-18,1,AA101860,SALE,168,212,
2025-08-18,1,AA191094,SALE,280,338,
2025-08-18,1,AA191093,SALE,308,316,
2025-08-19,1,36BA4039,SALE,238,305,
2025-08-19,1,24151114,SALE,63,125,
2025-08-19,1,AN101186,SALE,102,145,
2025-08-19,1,AA191093,SALE,308,360,
2025-08-19,1,AA191094,SALE,280,400,
2025-08-19,3,BA133058,SALE,231,675,
2025-08-19,1,AN191093,SALE,308,286,
2025-08-19,1,AN191094,SALE,280,306,
2025-08-19,2,24151268,SALE,266,760,
2025-08-20,1,AZ131809,SALE,539,690,
2025-08-20,1,36AA4025,SALE,385,490,
2025-08-20,1,36AU0001,SALE,"2,646",3402,
2025-08-20,1,AM101174,SALE,406,522,
2025-08-20,1,AM101172,SALE,126,162,
2025-08-20,1,AM101171,SALE,70,89,
2025-08-20,1,AN101149,SALE,126,162,
2025-08-20,1,AA101844,SALE,60,76,
2025-08-20,1,AA102210,SALE,77,99,
2025-08-20,1,AN101186,SALE,102,130,
2025-08-20,2,39103519,SALE,28,72,
2025-08-20,1,AA101859,SALE,182,229,
2025-08-20,1,AA101860,SALE,168,211,
2025-08-20,2,AA111153,SALE,84,216,
2025-08-20,1,AF111032,SALE,98,126,
2025-08-20,1,24151268,SALE,296,261,
2025-08-20,2,BGO-G,SALE,275,580,
2025-08-21,2,AL201012,SALE,105,260,
2025-08-21,2,AA111153,SALE,84,216,
2025-08-21,1,AA201325,SALE,259,295,
2025-08-21,1,AA191093,SALE,308,300,
2025-08-22,1,AB171044,SALE,595,765,
2025-08-22,2,BGO-G,SALE,275,580,
2025-08-22,1,AN101190,SALE,154,200,
2025-08-22,1,AA191093,SALE,308,308,
2025-08-22,1,AA191094,SALE,280,286,
2025-08-22,1,AN131007,SALE,18,21,
2025-08-22,2,BGO-G,SALE,275,580,
2025-08-22,1,AN101190,SALE,154,200,
2025-08-22,2,AA111153,SALE,84,216,
2025-08-22,1,AL201119,SALE,714,920,
2025-08-22,1,24201487,SALE,420,540,
2025-08-22,1,STUD,SALE,1000,1250,
2026-08-23,1,AA111085,SALE,259,360,
2026-08-23,1,AA111082,SALE,"1,120",1410,
2026-08-23,1,AN101190,SALE,154,200,
2026-08-23,3,36BA4039,SALE,238,915,
2026-08-23,1,AA111085,SALE,259,335,
2025-08-25,1,BGO,SALE,275,290,
2025-08-25,1,AA101865,SALE,784,990,
2025-08-25,1,AN101190,SALE,154,20,
2025-08-25,1,24151097,SALE,308,400,
2025-08-25,1,AF111032,SALE,98,125,
2025-08-26,1,24151299,SALE,161,210,
2025-08-26,1,KPBC6204,SALE,189,245,
2025-08-27,1,DK101503,SALE,168,216,
2025-08-27,1,AA101473,SALE,305,310,
2025-08-27,4,BGO-G,SALE,275,1160,
2025-08-27,1,AN101190,SALE,154,200,
2025-08-27,1,AA101844,SALE,60,85,
2025-08-27,1,AN101190,SALE,154,200,
2025-08-27,1,AA102075,SALE,147,210,
2025-08-28,10,BGO-G,SALE,275,2900,
2025-08-28,1,AN101190,SALE,154,200,
2025-08-28,1,AA111153,SALE,84,120,
2025-08-28,1,AA101844,SALE,60,87,
2025-08-28,1,CL201023,SALE,105,135,
2025-08-28,1,AN101190,SALE,154,200,
2025-08-28,1,AA101844,SALE,60,87,
2025-08-28,1,AA201263,SALE,"2,170",2745,
2025-08-28,1,AN101190,SALE,154,200,
2025-08-28,1,AN101190,SALE,154,200,
2025-08-28,1,AN101190,SALE,154,200,
2025-08-28,1,AN101190,SALE,154,200,
2025-08-28,1,KPBC6204,SALE,140,180,
2025-08-28,1,AA101844,SALE,60,87,
2025-08-28,1,JG541230,SALE,21,35,
2025-08-28,1,AN101190,SALE,154,200,
2025-08-28,1,AN101190,SALE,154,200,
2025-08-28,1,GRASA,SALE,65,100,
2025-08-28,1,AN101190,SALE,154,200,
2025-08-28,1,36BA4039,SALE,238,340,
2025-08-28,1,REMOVER,SALE,0,50,
2025-08-29,1,24151268,SALE,266,710,
2025-08-29,1,36BA4039,SALE,238,340,
2025-08-29,1,REMOVER,SALE,0,50,
2025-08-29,1,BGO-G,SALE,275,580,
2025-08-29,1,AA111153,SALE,84,216,
2025-08-29,1,AB171044,SALE,595,765,
2025-08-29,1,AA101865,SALE,784,1000,
2025-08-29,1,AA201239,SALE,238,305,
2025-08-29,1,36AN0016,SALE,378,355,
2025-08-29,1,AB171044,SALE,595,765,
2025-08-29,1,AN101190,SALE,154,200,
2025-08-30,1,36AA4025,SALE,385,450,
2025-08-30,1,AN191080,SALE,245,300,
2025-08-30,1,AF101340,SALE,117,150,
2025-08-30,1,24151268,SALE,266,780,
2025-08-30,1,BGO-G,SALE,275,580,
2025-08-30,1,AN101190,SALE,154,200,
2025-08-30,1,JN351604,SALE,385,495,
2025-08-30,1,AA191093,SALE,308,308,
2025-08-30,1,AA191094,SALE,280,286,
2025-08-30,1,AA191115,SALE,364,340,
2025-08-30,1,AF111050,SALE,574,740,
2025-08-30,1,AN101190,SALE,154,200,
